iter	Logloss
0	0.6205012204
1	0.5609121948
2	0.5129717587
3	0.4749327906
4	0.4442437743
5	0.419810452
6	0.3984710689
7	0.3818262629
8	0.3678639559
9	0.3562786445
10	0.3468401492
11	0.3382337209
12	0.3309094055
13	0.3252982188
14	0.3197144662
15	0.3150267532
16	0.3109063965
17	0.3072458077
18	0.3040878689
19	0.3014769544
20	0.2991351463
21	0.2970529286
22	0.2949074217
23	0.2930809931
24	0.2914723352
25	0.2899376269
26	0.2886275772
27	0.2873773812
28	0.2863735216
29	0.2853753876
30	0.2844464631
31	0.2835740292
32	0.2827464038
33	0.2820395478
34	0.2814542477
35	0.2808487872
36	0.2802264303
37	0.2797209532
38	0.2791890056
39	0.2787563028
40	0.2783493885
41	0.277926757
42	0.277536221
43	0.2771943633
44	0.2769028587
45	0.2766058112
46	0.276329103
47	0.2760422715
48	0.2757780875
49	0.2755552408
50	0.2753527063
51	0.275158059
52	0.274944224
53	0.2747575654
54	0.2745840863
55	0.2744314816
56	0.2742853428
57	0.2741438098
58	0.2739929554
59	0.2738641953
60	0.2737297916
61	0.2736234246
62	0.2735201202
63	0.2734219987
64	0.2733252792
65	0.2732191491
66	0.2731185746
67	0.2730367799
68	0.272956679
69	0.272884681
70	0.2728026908
71	0.2727319596
72	0.2726726405
73	0.2726032839
74	0.2725403593
75	0.2724916879
76	0.2724318702
77	0.2723697688
78	0.2723113343
79	0.2722592591
80	0.2722072944
81	0.2721612902
82	0.2721130384
83	0.2720643924
84	0.2720205165
85	0.2719703533
86	0.2719290104
87	0.2718940018
88	0.2718599404
89	0.2718284731
90	0.2717928788
91	0.2717538396
92	0.2717156348
93	0.2716859237
94	0.2716544101
95	0.271614327
96	0.2715852778
97	0.2715606686
98	0.271521618
99	0.2714926703
100	0.2714663312
101	0.2714374897
102	0.2714023564
103	0.2713757867
104	0.2713449556
105	0.2713227914
106	0.2713014772
107	0.2712755058
108	0.2712577037
109	0.2712362532
110	0.2712239741
111	0.27119184
112	0.2711744135
113	0.2711576882
114	0.2711285626
115	0.2711101917
116	0.271091082
117	0.2710744876
118	0.2710543105
119	0.2710370392
120	0.2710180748
121	0.2710039871
122	0.2709920258
123	0.2709780786
124	0.2709662578
125	0.27094093
126	0.2709256258
127	0.2708990249
128	0.2708854792
129	0.2708620293
130	0.2708473528
131	0.2708343527
132	0.2708178513
133	0.2708029908
134	0.2707869161
135	0.2707708933
136	0.2707563215
137	0.2707455845
138	0.2707336925
139	0.2707246124
140	0.2707007133
141	0.2706797665
142	0.2706663244
143	0.270652518
144	0.270634198
145	0.2706194294
146	0.2706053306
147	0.2705921562
148	0.2705794484
149	0.2705662843
150	0.2705474701
151	0.27054046
152	0.2705268747
153	0.2705153042
154	0.2705003878
155	0.2704889836
156	0.2704662917
157	0.2704551198
158	0.2704430663
159	0.2704299802
160	0.2704211782
161	0.2704059673
162	0.270395069
163	0.2703827293
164	0.2703713466
165	0.2703605167
166	0.2703497933
167	0.2703416403
168	0.2703342432
169	0.2703160108
170	0.2703093694
171	0.2702917025
172	0.2702813409
173	0.2702702708
174	0.2702553513
175	0.2702449493
176	0.2702319885
177	0.2702200552
178	0.2702065901
179	0.2701890137
180	0.2701782041
181	0.2701713174
182	0.2701622554
183	0.270150265
184	0.2701407482
185	0.2701297752
186	0.2701207079
187	0.2700998047
188	0.2700830456
189	0.2700739059
190	0.2700657737
191	0.2700571554
192	0.2700476893
193	0.2700405383
194	0.2700315553
195	0.2700216804
196	0.2700134638
197	0.2700042049
198	0.2699972875
199	0.2699900183
