iter	Passed	Remaining
0	162	32238
1	343	33976
2	549	36072
3	764	37469
4	904	35256
5	1044	33780
6	1190	32822
7	1323	31767
8	1462	31043
9	1605	30506
10	1730	29740
11	1870	29300
12	2000	28778
13	2152	28599
14	2297	28329
15	2425	27890
16	2581	27786
17	2721	27520
18	2858	27232
19	2999	26997
20	3150	26851
21	3291	26630
22	3433	26419
23	3600	26400
24	3725	26080
25	3860	25835
26	3998	25621
27	4135	25406
28	4256	25100
29	4374	24788
30	4507	24572
31	4648	24407
32	4786	24224
33	4928	24064
34	5053	23823
35	5205	23714
36	5327	23470
37	5469	23318
38	5602	23128
39	5744	22976
40	5863	22738
41	5985	22516
42	6112	22317
43	6236	22109
44	6369	21940
45	6507	21786
46	6640	21618
47	6771	21441
48	6896	21251
49	7049	21147
50	7186	20994
51	7308	20802
52	7431	20612
53	7553	20422
54	7698	20296
55	7832	20140
56	7962	19974
57	8084	19793
58	8230	19670
59	8349	19482
60	8512	19396
61	8648	19249
62	8797	19130
63	8931	18978
64	9057	18812
65	9199	18677
66	9325	18511
67	9451	18347
68	9568	18166
69	9681	17980
70	9826	17854
71	9954	17696
72	10077	17532
73	10203	17373
74	10325	17209
75	10458	17063
76	10583	16906
77	10707	16747
78	10821	16574
79	10955	16433
80	11093	16298
81	11226	16155
82	11338	15983
83	11452	15814
84	11580	15668
85	11709	15521
86	11848	15389
87	11988	15258
88	12125	15122
89	12254	14977
90	12387	14837
91	12513	14689
92	12634	14536
93	12767	14397
94	12887	14243
95	13023	14109
96	13142	13955
97	13260	13801
98	13380	13651
99	13500	13500
100	13629	13359
101	13754	13214
102	13864	13056
103	13985	12909
104	14113	12769
105	14251	12638
106	14390	12507
107	14546	12391
108	14686	12261
109	14788	12100
110	14921	11964
111	15083	11851
112	15217	11716
113	15360	11587
114	15547	11491
115	15699	11368
116	15887	11270
117	16039	11146
118	16196	11024
119	16564	11043
120	16705	10906
121	16980	10856
122	17207	10772
123	17318	10614
124	17442	10465
125	17539	10300
126	17651	10146
127	17747	9983
128	17847	9822
129	17943	9661
130	18048	9506
131	18155	9352
132	18255	9196
133	18341	9034
134	18422	8869
135	18508	8709
136	18623	8563
137	18722	8411
138	18831	8264
139	18919	8108
140	19020	7958
141	19117	7808
142	19216	7659
143	19306	7507
144	19388	7354
145	19483	7206
146	19648	7084
147	19782	6950
148	19903	6812
149	20035	6678
150	20187	6551
151	20313	6414
152	20461	6285
153	20610	6156
154	20736	6020
155	20908	5897
156	21089	5776
157	21243	5646
158	21386	5514
159	21603	5400
160	21804	5281
161	21970	5153
162	22108	5018
163	22270	4888
164	22418	4755
165	22572	4623
166	22703	4486
167	22843	4351
168	22984	4216
169	23134	4082
170	23292	3950
171	23456	3818
172	23591	3681
173	23729	3545
174	23892	3413
175	24029	3276
176	24191	3143
177	24329	3007
178	24474	2871
179	24598	2733
180	24726	2595
181	24857	2458
182	25014	2323
183	25142	2186
184	25261	2048
185	25373	1909
186	25516	1773
187	25644	1636
188	25753	1498
189	25897	1363
190	26052	1227
191	26175	1090
192	26313	954
193	26449	818
194	26589	681
195	26717	545
196	26847	408
197	26989	272
198	27118	136
199	27237	0
